# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
0.12763103 0.56036140  -1.81005146e+00  
0.12763103 0.62317797  -1.71018691e+00  
0.12763103 0.68824286  -1.60908205e+00  
0.12763103 0.75533996  -1.50727509e+00  
0.12763103 0.82424636  -1.40519485e+00  
0.12763103 0.89473316  -1.30317239e+00  
0.12763103 0.96656622  -1.20145928e+00  
0.12763103 1.03950692  -1.10024874e+00  
0.12763103 1.11331294  -9.99694799e-01  
0.12763103 1.18773913  -8.99929376e-01  
0.12763103 1.26253823  -8.01085360e-01  
0.12763103 1.33746177  -7.03340316e-01  
0.12763103 1.41226087  -6.06994322e-01  
0.12763103 1.48668706  -5.12587196e-01  
0.12763103 1.56049308  -4.21042665e-01  
0.12763103 1.63343378  -3.33794282e-01  
0.12763103 1.70526684  -2.52806898e-01  
0.12763103 1.77575364  -1.80397644e-01  
0.12763103 1.84466004  -1.18826061e-01  
0.12763103 1.91175714  -6.97472722e-02  
0.12763103 1.97682203  -3.37212165e-02  
0.12763103 2.03963860  -9.97766321e-03  
0.12763103 2.09999816   3.45137940e-03  
0.12763103 2.15770020   9.26578734e-03  
0.12763103 2.21255306   1.02737077e-02  
0.12763103 2.26437450   8.84696956e-03  
0.12763103 2.31299239   6.62991186e-03  
0.12763103 2.35824522   4.53216537e-03  
0.12763103 2.39998267   2.90916532e-03  
0.12763103 2.43806609   1.79424525e-03  
0.12763103 2.47236897   1.08583881e-03  
0.12763103 2.50277737   6.58027139e-04  
0.12763103 2.52919027   4.07322385e-04  
0.12763103 2.55151994   2.62496731e-04  
0.12763103 2.56969223   1.79254188e-04  
0.12763103 2.58364683   1.31742574e-04  
0.12763103 2.59333765   1.05539636e-04  
0.12763103 2.59873467   9.30112141e-05  
0.16193391 0.00126533  -2.51037140e+00  
0.16193391 0.00666235  -2.51025555e+00  
0.16193391 0.01635317  -2.50955797e+00  
0.16193391 0.03030777  -2.50758735e+00  
0.16193391 0.04848006  -2.50325739e+00  
0.16193391 0.07080973  -2.49523767e+00  
0.16193391 0.09722263  -2.48199918e+00  
0.16193391 0.12763103  -2.46189704e+00  
0.16193391 0.16193391  -2.43310101e+00  
0.16193391 0.20001733  -2.38149093e+00  
0.16193391 0.24175478  -2.31883486e+00  
0.16193391 0.28700761  -2.24715414e+00  
0.16193391 0.33562550  -2.16813940e+00  
0.16193391 0.38744694  -2.08316838e+00  
0.16193391 0.44229980  -1.99338235e+00  
0.16193391 0.50000184  -1.89976942e+00  
0.16193391 0.56036140  -1.80321668e+00  
0.16193391 0.62317797  -1.70451775e+00  
0.16193391 0.68824286  -1.60436211e+00  
0.16193391 0.75533996  -1.50332589e+00  
0.16193391 0.82424636  -1.40187286e+00  
0.16193391 0.89473316  -1.30036561e+00  
0.16193391 0.96656622  -1.19908302e+00  
0.16193391 1.03950692  -1.09823976e+00  
0.16193391 1.11331294  -9.98004616e-01  
0.16193391 1.18773913  -8.98518929e-01  
0.16193391 1.26253823  -7.99922246e-01  
0.16193391 1.33746177  -7.02397506e-01  
0.16193391 1.41226087  -6.06248607e-01  
0.16193391 1.48668706  -5.12017015e-01  
