# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
2.43806609 0.62317797   1.69455559e-03  
2.43806609 0.68824286   1.67268114e-03  
2.43806609 0.75533996   1.64835537e-03  
2.43806609 0.82424636   1.62164356e-03  
2.43806609 0.89473316   1.59259305e-03  
2.43806609 0.96656622   1.56114713e-03  
2.43806609 1.03950692   1.52701554e-03  
2.43806609 1.11331294   1.48950255e-03  
2.43806609 1.18773913   1.44731134e-03  
2.43806609 1.26253823   1.39837508e-03  
2.43806609 1.33746177   1.33981748e-03  
2.43806609 1.41226087   1.26820746e-03  
2.43806609 1.48668706   1.18028983e-03  
2.43806609 1.56049308   1.07423499e-03  
2.43806609 1.63343378   9.51065487e-04  
2.43806609 1.70526684   8.15463667e-04  
2.43806609 1.77575364   6.75179910e-04  
2.43806609 1.84466004   5.39078746e-04  
2.43806609 1.91175714   4.14858986e-04  
2.43806609 1.97682203   3.07610215e-04  
2.43806609 2.03963860   2.19570297e-04  
2.43806609 2.09999816   1.50665070e-04  
2.43806609 2.15770020   9.92487250e-05  
2.43806609 2.21255306   6.27371168e-05  
2.43806609 2.26437450   3.81088357e-05  
2.43806609 2.31299239   2.23312626e-05  
2.43806609 2.35824522   1.27072208e-05  
2.43806609 2.39998267   7.08688328e-06  
2.43806609 2.43806609   3.91917904e-06  
2.43806609 2.47236897   2.41824815e-06  
2.43806609 2.50277737   1.49150335e-06  
2.43806609 2.52919027   9.37573927e-07  
2.43806609 2.55151994   6.12120954e-07  
2.43806609 2.56969223   4.22430019e-07  
2.43806609 2.58364683   3.12969121e-07  
2.43806609 2.59333765   2.52116552e-07  
2.43806609 2.59873467   2.22873411e-07  
2.47236897 0.00126533   1.08844833e-03  
2.47236897 0.00666235   1.08843723e-03  
2.47236897 0.01635317   1.08841746e-03  
2.47236897 0.03030777   1.08830621e-03  
2.47236897 0.04848006   1.08807251e-03  
2.47236897 0.07080973   1.08764420e-03  
2.47236897 0.09722263   1.08693266e-03  
2.47236897 0.12763103   1.08583881e-03  
2.47236897 0.16193391   1.08425388e-03  
2.47236897 0.20001733   1.08206121e-03  
2.47236897 0.24175478   1.07913833e-03  
2.47236897 0.28700761   1.07535998e-03  
2.47236897 0.33562550   1.07059887e-03  
2.47236897 0.38744694   1.06473283e-03  
2.47236897 0.44229980   1.05765149e-03  
2.47236897 0.50000184   1.04925837e-03  
2.47236897 0.56036140   1.03947967e-03  
2.47236897 0.62317797   1.02827043e-03  
2.47236897 0.68824286   1.01561834e-03  
2.47236897 0.75533996   1.00154159e-03  
2.47236897 0.82424636   9.86075725e-04  
2.47236897 0.89473316   9.69243581e-04  
2.47236897 0.96656622   9.51002538e-04  
2.47236897 1.03950692   9.31165016e-04  
2.47236897 1.11331294   9.09292789e-04  
2.47236897 1.18773913   8.84575891e-04  
2.47236897 1.26253823   8.55726739e-04  
2.47236897 1.33746177   8.20952741e-04  
2.47236897 1.41226087   7.78109773e-04  
2.47236897 1.48668706   7.25150509e-04  
2.47236897 1.56049308   6.60896407e-04  
2.47236897 1.63343378   5.85924538e-04  
2.47236897 1.70526684   5.03077638e-04  
2.47236897 1.77575364   4.17111047e-04  
2.47236897 1.84466004   3.33493294e-04  
2.47236897 1.91175714   2.56997618e-04  
2.47236897 1.97682203   1.90805167e-04  
2.47236897 2.03963860   1.36348765e-04  
2.47236897 2.09999816   9.36387570e-05  
2.47236897 2.15770020   6.17107067e-05  
2.47236897 2.21255306   3.90068599e-05  
2.47236897 2.26437450   2.36804982e-05  
2.47236897 2.31299239   1.38610089e-05  
2.47236897 2.35824522   7.87472587e-06  
2.47236897 2.39998267   4.38295056e-06  
2.47236897 2.43806609   2.41824814e-06  
2.47236897 2.47236897   1.34102991e-06  
2.47236897 2.50277737   8.25732393e-07  
2.47236897 2.52919027   5.18486470e-07  
2.47236897 2.55151994   3.38256064e-07  
2.47236897 2.56969223   2.33318428e-07  
2.47236897 2.58364683   1.72805575e-07  
2.47236897 2.59333765   1.39179138e-07  
2.47236897 2.59873467   1.23023604e-07  
2.50277737 0.00126533   6.59547434e-04  
2.50277737 0.00666235   6.59541546e-04  
2.50277737 0.01635317   6.59529365e-04  
2.50277737 0.03030777   6.59464681e-04  
2.50277737 0.04848006   6.59328577e-04  
2.50277737 0.07080973   6.59079048e-04  
2.50277737 0.09722263   6.58664485e-04  
2.50277737 0.12763103   6.58027139e-04  
2.50277737 0.16193391   6.57103572e-04  
2.50277737 0.20001733   6.55825702e-04  
2.50277737 0.24175478   6.54121995e-04  
2.50277737 0.28700761   6.51919175e-04  
2.50277737 0.33562550   6.49142830e-04  
2.50277737 0.38744694   6.45721381e-04  
2.50277737 0.44229980   6.41589954e-04  
2.50277737 0.50000184   6.36691763e-04  
2.50277737 0.56036140   6.30983158e-04  
2.50277737 0.62317797   6.24437263e-04  
2.50277737 0.68824286   6.17046285e-04  
2.50277737 0.75533996   6.08820239e-04  
2.50277737 0.82424636   5.99778961e-04  
2.50277737 0.89473316   5.89933761e-04  
2.50277737 0.96656622   5.79255126e-04  
2.50277737 1.03950692   5.67624005e-04  
2.50277737 1.11331294   5.54766912e-04  
2.50277737 1.18773913   5.40181227e-04  
2.50277737 1.26253823   5.23069269e-04  
2.50277737 1.33746177   5.02319979e-04  
2.50277737 1.41226087   4.76601536e-04  
2.50277737 1.48668706   4.44635873e-04  
2.50277737 1.56049308   4.05674024e-04  
2.50277737 1.63343378   3.60044896e-04  
2.50277737 1.70526684   3.09474716e-04  
2.50277737 1.77575364   2.56875624e-04  
2.50277737 1.84466004   2.05610719e-04  
2.50277737 1.91175714   1.58626721e-04  
2.50277737 1.97682203   1.17899400e-04  
2.50277737 2.03963860   8.43344413e-05  
2.50277737 2.09999816   5.79646964e-05  
2.50277737 2.15770020   3.82214371e-05  
2.50277737 2.21255306   2.41646070e-05  
2.50277737 2.26437450   1.46675208e-05  
2.50277737 2.31299239   8.58060099e-06  
2.50277737 2.35824522   4.87028065e-06  
2.50277737 2.39998267   2.70732985e-06  
2.50277737 2.43806609   1.49150337e-06  
2.50277737 2.47236897   8.25732364e-07  
2.50277737 2.50277737   4.66531448e-07  
2.50277737 2.52919027   2.92593126e-07  
2.50277737 2.55151994   1.90730934e-07  
2.50277737 2.56969223   1.31488212e-07  
2.50277737 2.58364683   9.73505655e-08  
2.50277737 2.59333765   7.83894081e-08  
2.50277737 2.59873467   6.92822464e-08  
2.52919027 0.00126533   4.08234038e-04  
2.52919027 0.00666235   4.08230811e-04  
2.52919027 0.01635317   4.08223233e-04  
2.52919027 0.03030777   4.08184502e-04  
2.52919027 0.04848006   4.08102899e-04  
2.52919027 0.07080973   4.07953258e-04  
2.52919027 0.09722263   4.07704634e-04  
2.52919027 0.12763103   4.07322385e-04  
2.52919027 0.16193391   4.06768445e-04  
2.52919027 0.20001733   4.06001935e-04  
2.52919027 0.24175478   4.04979880e-04  
2.52919027 0.28700761   4.03658209e-04  
2.52919027 0.33562550   4.01992172e-04  
2.52919027 0.38744694   3.99938663e-04  
2.52919027 0.44229980   3.97458500e-04  
2.52919027 0.50000184   3.94517365e-04  
2.52919027 0.56036140   3.91088792e-04  
2.52919027 0.62317797   3.87156388e-04  
2.52919027 0.68824286   3.82715238e-04  
2.52919027 0.75533996   3.77771119e-04  
2.52919027 0.82424636   3.72335552e-04  
2.52919027 0.89473316   3.66414388e-04  
2.52919027 0.96656622   3.59987669e-04  
2.52919027 1.03950692   3.52979203e-04  
2.52919027 1.11331294   3.45215950e-04  
2.52919027 1.18773913   3.36381114e-04  
2.52919027 1.26253823   3.25972468e-04  
2.52919027 1.33746177   3.13290161e-04  
2.52919027 1.41226087   2.97493835e-04  
2.52919027 1.48668706   2.77773882e-04  
2.52919027 1.56049308   2.53649367e-04  
2.52919027 1.63343378   2.25313325e-04  
2.52919027 1.70526684   1.93835666e-04  
2.52919027 1.77575364   1.61033627e-04  
2.52919027 1.84466004   1.29012862e-04  
2.52919027 1.91175714   9.96237736e-05  
2.52919027 1.97682203   7.41127767e-05  
2.52919027 2.03963860   5.30587785e-05  
2.52919027 2.09999816   3.64952278e-05  
2.52919027 2.15770020   2.40780370e-05  
2.52919027 2.21255306   1.52276420e-05  
2.52919027 2.26437450   9.24335683e-06  
2.52919027 2.31299239   5.40611786e-06  
2.52919027 2.35824522   3.06686518e-06  
2.52919027 2.39998267   1.70351468e-06  
2.52919027 2.43806609   9.37573905e-07  
2.52919027 2.47236897   5.18486452e-07  
2.52919027 2.50277737   2.92593128e-07  
2.52919027 2.52919027   1.71268237e-07  
2.52919027 2.55151994   1.11551621e-07  
2.52919027 2.56969223   7.68592508e-08  
2.52919027 2.58364683   5.68831902e-08  
2.52919027 2.59333765   4.57932403e-08  
2.52919027 2.59873467   4.04680703e-08  
2.55151994 0.00126533   2.63069718e-04  
2.55151994 0.00666235   2.63067738e-04  
2.55151994 0.01635317   2.63062823e-04  
2.55151994 0.03030777   2.63038517e-04  
2.55151994 0.04848006   2.62987247e-04  
2.55151994 0.07080973   2.62893206e-04  
2.55151994 0.09722263   2.62736959e-04  
2.55151994 0.12763103   2.62496731e-04  
2.55151994 0.16193391   2.62148590e-04  
2.55151994 0.20001733   2.61666832e-04  
2.55151994 0.24175478   2.61024416e-04  
2.55151994 0.28700761   2.60193590e-04  
2.55151994 0.33562550   2.59146177e-04  
2.55151994 0.38744694   2.57854997e-04  
2.55151994 0.44229980   2.56295290e-04  
2.55151994 0.50000184   2.54445362e-04  
2.55151994 0.56036140   2.52288452e-04  
2.55151994 0.62317797   2.49814144e-04  
2.55151994 0.68824286   2.47019255e-04  
2.55151994 0.75533996   2.43907328e-04  
2.55151994 0.82424636   2.40485435e-04  
2.55151994 0.89473316   2.36756797e-04  
2.55151994 0.96656622   2.32707746e-04  
2.55151994 1.03950692   2.28287973e-04  
2.55151994 1.11331294   2.23384119e-04  
2.55151994 1.18773913   2.17789198e-04  
2.55151994 1.26253823   2.11175291e-04  
2.55151994 1.33746177   2.03085265e-04  
2.55151994 1.41226087   1.92969457e-04  
2.55151994 1.48668706   1.80296697e-04  
2.55151994 1.56049308   1.64748155e-04  
2.55151994 1.63343378   1.46442728e-04  
2.55151994 1.70526684   1.26070457e-04  
2.55151994 1.77575364   1.04809729e-04  
2.55151994 1.84466004   8.40295399e-05  
2.55151994 1.91175714   6.49356709e-05  
2.55151994 1.97682203   4.83431836e-05  
2.55151994 2.03963860   3.46344024e-05  
2.55151994 2.09999816   2.38375620e-05  
2.55151994 2.15770020   1.57350485e-05  
2.55151994 2.21255306   9.95470449e-06  
2.55151994 2.26437450   6.04349964e-06  
2.55151994 2.31299239   3.53439653e-06  
2.55151994 2.35824522   2.00449051e-06  
2.55151994 2.39998267   1.11288706e-06  
2.55151994 2.43806609   6.12120979e-07  
2.55151994 2.47236897   3.38256055e-07  
2.55151994 2.50277737   1.90730968e-07  
2.55151994 2.52919027   1.11551578e-07  
2.55151994 2.55151994   6.87940434e-08  
2.55151994 2.56969223   4.73732254e-08  
2.55151994 2.58364683   3.50478685e-08  
2.55151994 2.59333765   2.82083113e-08  
2.55151994 2.59873467   2.49250159e-08  
2.56969223 0.00126533   1.79637745e-04  
2.56969223 0.00666235   1.79636653e-04  
2.56969223 0.01635317   1.79633305e-04  
2.56969223 0.03030777   1.79617021e-04  
2.56969223 0.04848006   1.79582692e-04  
2.56969223 0.07080973   1.79519714e-04  
2.56969223 0.09722263   1.79415073e-04  
2.56969223 0.12763103   1.79254188e-04  
2.56969223 0.16193391   1.79021030e-04  
2.56969223 0.20001733   1.78698378e-04  
2.56969223 0.24175478   1.78268109e-04  
2.56969223 0.28700761   1.77711613e-04  
2.56969223 0.33562550   1.77009992e-04  
2.56969223 0.38744694   1.76144998e-04  
2.56969223 0.44229980   1.75099979e-04  
2.56969223 0.50000184   1.73860342e-04  
2.56969223 0.56036140   1.72414801e-04  
2.56969223 0.62317797   1.70756331e-04  
2.56969223 0.68824286   1.68882766e-04  
2.56969223 0.75533996   1.66796445e-04  
2.56969223 0.82424636   1.64502022e-04  
2.56969223 0.89473316   1.62001426e-04  
2.56969223 0.96656622   1.59284918e-04  
2.56969223 1.03950692   1.56317533e-04  
2.56969223 1.11331294   1.53020916e-04  
2.56969223 1.18773913   1.49252253e-04  
2.56969223 1.26253823   1.44785387e-04  
2.56969223 1.33746177   1.39304941e-04  
2.56969223 1.41226087   1.32431298e-04  
2.56969223 1.48668706   1.23796759e-04  
2.56969223 1.56049308   1.13178879e-04  
2.56969223 1.63343378   1.00655894e-04  
2.56969223 1.70526684   8.66992392e-05  
2.56969223 1.77575364   7.21173895e-05  
2.56969223 1.84466004   5.78514841e-05  
2.56969223 1.91175714   4.47318932e-05  
2.56969223 1.97682203   3.33214003e-05  
2.56969223 2.03963860   2.38859434e-05  
2.56969223 2.09999816   1.64483278e-05  
2.56969223 2.15770020   1.08621597e-05  
2.56969223 2.21255306   6.87406612e-06  
2.56969223 2.26437450   4.17397548e-06  
2.56969223 2.31299239   2.44110217e-06  
2.56969223 2.35824522   1.38425664e-06  
2.56969223 2.39998267   7.68321233e-07  
2.56969223 2.43806609   4.22430027e-07  
2.56969223 2.47236897   2.33318444e-07  
2.56969223 2.50277737   1.31488215e-07  
2.56969223 2.52919027   7.68592624e-08  
2.56969223 2.55151994   4.73732306e-08  
2.56969223 2.56969223   3.12761913e-08  
2.56969223 2.58364683   2.31311302e-08  
2.56969223 2.59333765   1.86132608e-08  
2.56969223 2.59873467   1.64449177e-08  
2.58364683 0.00126533   1.32020698e-04  
2.58364683 0.00666235   1.32019686e-04  
2.58364683 0.01635317   1.32017204e-04  
2.58364683 0.03030777   1.32005421e-04  
2.58364683 0.04848006   1.31980552e-04  
2.58364683 0.07080973   1.31934929e-04  
2.58364683 0.09722263   1.31859124e-04  
2.58364683 0.12763103   1.31742573e-04  
2.58364683 0.16193391   1.31573665e-04  
2.58364683 0.20001733   1.31339922e-04  
2.58364683 0.24175478   1.31028211e-04  
2.58364683 0.28700761   1.30625035e-04  
2.58364683 0.33562550   1.30116693e-04  
2.58364683 0.38744694   1.29489941e-04  
2.58364683 0.44229980   1.28732677e-04  
2.58364683 0.50000184   1.27834298e-04  
2.58364683 0.56036140   1.26786596e-04  
2.58364683 0.62317797   1.25584461e-04  
2.58364683 0.68824286   1.24226311e-04  
2.58364683 0.75533996   1.22713826e-04  
2.58364683 0.82424636   1.21050340e-04  
2.58364683 0.89473316   1.19237128e-04  
2.58364683 0.96656622   1.17266821e-04  
2.58364683 1.03950692   1.15113403e-04  
2.58364683 1.11331294   1.12718787e-04  
2.58364683 1.18773913   1.09977224e-04  
2.58364683 1.26253823   1.06721303e-04  
2.58364683 1.33746177   1.02717502e-04  
2.58364683 1.41226087   9.76845138e-05  
2.58364683 1.48668706   9.13493977e-05  
2.58364683 1.56049308   8.35460950e-05  
2.58364683 1.63343378   7.43304778e-05  
2.58364683 1.70526684   6.40491177e-05  
2.58364683 1.77575364   5.32982221e-05  
2.58364683 1.84466004   4.27728624e-05  
2.58364683 1.91175714   3.30870767e-05  
2.58364683 1.97682203   2.46578268e-05  
2.58364683 2.03963860   1.76831899e-05  
2.58364683 2.09999816   1.21818396e-05  
2.58364683 2.15770020   8.04739675e-06  
2.58364683 2.21255306   5.09408515e-06  
2.58364683 2.26437450   3.09366479e-06  
2.58364683 2.31299239   1.80939485e-06  
2.58364683 2.35824522   1.02598319e-06  
2.58364683 2.39998267   5.69373866e-07  
2.58364683 2.43806609   3.12969124e-07  
2.58364683 2.47236897   1.72805598e-07  
2.58364683 2.50277737   9.73505662e-08  
2.58364683 2.52919027   5.68832000e-08  
2.58364683 2.55151994   3.50478558e-08  
2.58364683 2.56969223   2.31311273e-08  
2.58364683 2.58364683   8.46521941e-09  
2.58364683 2.59333765   6.88259001e-09  
2.58364683 2.59873467   6.14479793e-09  
2.59333765 0.00126533   1.05759741e-04  
2.59333765 0.00666235   1.05759480e-04  
2.59333765 0.01635317   1.05757503e-04  
2.59333765 0.03030777   1.05748158e-04  
2.59333765 0.04848006   1.05728433e-04  
2.59333765 0.07080973   1.05692238e-04  
2.59333765 0.09722263   1.05632099e-04  
2.59333765 0.12763103   1.05539636e-04  
2.59333765 0.16193391   1.05405636e-04  
2.59333765 0.20001733   1.05220199e-04  
2.59333765 0.24175478   1.04972905e-04  
2.59333765 0.28700761   1.04653040e-04  
2.59333765 0.33562550   1.04249728e-04  
2.59333765 0.38744694   1.03752449e-04  
2.59333765 0.44229980   1.03151583e-04  
2.59333765 0.50000184   1.02438699e-04  
2.59333765 0.56036140   1.01607271e-04  
2.59333765 0.62317797   1.00653234e-04  
2.59333765 0.68824286   9.95753305e-05  
2.59333765 0.75533996   9.83748864e-05  
2.59333765 0.82424636   9.70545276e-05  
2.59333765 0.89473316   9.56152012e-05  
2.59333765 0.96656622   9.40508938e-05  
2.59333765 1.03950692   9.23405948e-05  
2.59333765 1.11331294   9.04375038e-05  
2.59333765 1.18773913   8.82564850e-05  
2.59333765 1.26253823   8.56627771e-05  
2.59333765 1.33746177   8.24683688e-05  
2.59333765 1.41226087   7.84466566e-05  
2.59333765 1.48668706   7.33775238e-05  
2.59333765 1.56049308   6.71265425e-05  
2.59333765 1.63343378   5.97375834e-05  
2.59333765 1.70526684   5.14883247e-05  
2.59333765 1.77575364   4.28574736e-05  
2.59333765 1.84466004   3.44036761e-05  
2.59333765 1.91175714   2.66208675e-05  
2.59333765 1.97682203   1.98448825e-05  
2.59333765 2.03963860   1.42358194e-05  
2.59333765 2.09999816   9.80967373e-06  
2.59333765 2.15770020   6.48188544e-06  
2.59333765 2.21255306   4.10387533e-06  
2.59333765 2.26437450   2.49261905e-06  
2.59333765 2.31299239   1.45794208e-06  
2.59333765 2.35824522   8.26685105e-07  
2.59333765 2.39998267   4.58733471e-07  
2.59333765 2.43806609   2.52116513e-07  
2.59333765 2.47236897   1.39179124e-07  
2.59333765 2.50277737   7.83894280e-08  
2.59333765 2.52919027   4.57932669e-08  
2.59333765 2.55151994   2.82083092e-08  
2.59333765 2.56969223   1.86131819e-08  
2.59333765 2.58364683   6.88261158e-09  
2.59333765 2.59333765   1.05132440e-08  
2.59333765 2.59873467   9.28704867e-09  
2.59873467 0.00126533   9.32047627e-05  
2.59873467 0.00666235   9.32040000e-05  
2.59873467 0.01635317   9.32021798e-05  
2.59873467 0.03030777   9.31940057e-05  
2.59873467 0.04848006   9.31767111e-05  
2.59873467 0.07080973   9.31449853e-05  
2.59873467 0.09722263   9.30922681e-05  
2.59873467 0.12763103   9.30112144e-05  
2.59873467 0.16193391   9.28937503e-05  
2.59873467 0.20001733   9.27311975e-05  
2.59873467 0.24175478   9.25144194e-05  
2.59873467 0.28700761   9.22340231e-05  
2.59873467 0.33562550   9.18804696e-05  
2.59873467 0.38744694   9.14445325e-05  
2.59873467 0.44229980   9.09177685e-05  
2.59873467 0.50000184   9.02927790e-05  
2.59873467 0.56036140   8.95638368e-05  
2.59873467 0.62317797   8.87273745e-05  
2.59873467 0.68824286   8.77822864e-05  
2.59873467 0.75533996   8.67297345e-05  
2.59873467 0.82424636   8.55720114e-05  
2.59873467 0.89473316   8.43099168e-05  
2.59873467 0.96656622   8.29380987e-05  
2.59873467 1.03950692   8.14379605e-05  
2.59873467 1.11331294   7.97681305e-05  
2.59873467 1.18773913   7.78533771e-05  
2.59873467 1.26253823   7.55746260e-05  
2.59873467 1.33746177   7.27657331e-05  
2.59873467 1.41226087   6.92263939e-05  
2.59873467 1.48668706   6.47619153e-05  
2.59873467 1.56049308   5.92531518e-05  
2.59873467 1.63343378   5.27383347e-05  
2.59873467 1.70526684   4.54621946e-05  
2.59873467 1.77575364   3.78471310e-05  
2.59873467 1.84466004   3.03863497e-05  
2.59873467 1.91175714   2.35161271e-05  
2.59873467 1.97682203   1.75333004e-05  
2.59873467 2.03963860   1.25796462e-05  
2.59873467 2.09999816   8.66976075e-06  
2.59873467 2.15770020   5.72944240e-06  
2.59873467 2.21255306   3.62787147e-06  
2.59873467 2.26437450   2.20366647e-06  
2.59873467 2.31299239   1.28898007e-06  
2.59873467 2.35824522   7.30878544e-07  
2.59873467 2.39998267   4.05553850e-07  
2.59873467 2.43806609   2.22873371e-07  
2.59873467 2.47236897   1.23023673e-07  
2.59873467 2.50277737   6.92822587e-08  
2.59873467 2.52919027   4.04680972e-08  
2.59873467 2.55151994   2.49250906e-08  
2.59873467 2.56969223   1.64449461e-08  
2.59873467 2.58364683   6.14479663e-09  
2.59873467 2.59333765   9.28692931e-09  
2.59873467 2.59873467   8.10987465e-09  
